n_train,hidden,noise,lr,seed,step,train_mse_clean,val_mse_clean,test_mse_clean
500,128,0.0,0.001,1,0,0.06775171,0.06673708,0.06793702
500,128,0.0,0.001,1,1,0.04229117,0.04232331,0.04300934
500,128,0.0,0.001,1,2,0.03704605,0.03797502,0.03815209
500,128,0.0,0.001,1,3,0.03503565,0.03645591,0.03654948
500,128,0.0,0.001,1,4,0.02865256,0.03009051,0.03028548
500,128,0.0,0.001,1,5,0.02582699,0.02690137,0.02715758
500,128,0.0,0.001,1,6,0.02495083,0.02564518,0.02593177
500,128,0.0,0.001,1,7,0.02165445,0.02220957,0.02251899
500,128,0.0,0.001,1,8,0.01781986,0.01840601,0.01871872
500,128,0.0,0.001,1,9,0.01720792,0.01785322,0.01813414
500,128,0.0,0.001,1,11,0.0170061,0.01756574,0.01781279
500,128,0.0,0.001,1,12,0.01548459,0.0159721,0.01625172
500,128,0.0,0.001,1,14,0.01376248,0.01419721,0.01444627
500,128,0.0,0.001,1,16,0.01157759,0.01224848,0.01241982
500,128,0.0,0.001,1,19,0.00977601,0.01037352,0.01045945
500,128,0.0,0.001,1,22,0.00867091,0.00920186,0.00926147
500,128,0.0,0.001,1,26,0.0067464,0.00735981,0.00734734
500,128,0.0,0.001,1,30,0.00609148,0.00687475,0.00682184
500,128,0.0,0.001,1,34,0.00447373,0.00505545,0.00500067
500,128,0.0,0.001,1,40,0.00309845,0.00360222,0.00355447
500,128,0.0,0.001,1,46,0.00232393,0.0027958,0.00273734
500,128,0.0,0.001,1,54,0.00181086,0.00222093,0.00216818
500,128,0.0,0.001,1,62,0.00142459,0.0017183,0.00168957
500,128,0.0,0.001,1,72,0.00107766,0.00132892,0.00129874
500,128,0.0,0.001,1,83,0.00080218,0.00100824,0.0009888
500,128,0.0,0.001,1,97,0.00058894,0.00074342,0.00072893
500,128,0.0,0.001,1,112,0.00061436,0.00073945,0.00072721
500,128,0.0,0.001,1,130,0.00034972,0.00042735,0.00042391
500,128,0.0,0.001,1,150,0.00022058,0.00028435,0.00028273
500,128,0.0,0.001,1,174,0.00048258,0.00053706,0.00053141
500,128,0.0,0.001,1,202,0.00015179,0.00019567,0.00019375
500,128,0.0,0.001,1,234,0.00011465,0.00015213,0.00015096
500,128,0.0,0.001,1,271,9.252e-05,0.00012448,0.00012304
500,128,0.0,0.001,1,314,6.417e-05,9.293e-05,9.106e-05
500,128,0.0,0.001,1,364,6.312e-05,9.046e-05,8.832e-05
500,128,0.0,0.001,1,422,4.397e-05,6.775e-05,6.586e-05
500,128,0.0,0.001,1,489,5.034e-05,7.155e-05,6.947e-05
500,128,0.0,0.001,1,567,2.796e-05,4.672e-05,4.518e-05
500,128,0.0,0.001,1,657,2.576e-05,4.153e-05,4.059e-05
500,128,0.0,0.001,1,761,3.582e-05,5.141e-05,4.979e-05
500,128,0.0,0.001,1,882,1.512e-05,2.751e-05,2.665e-05
500,128,0.0,0.001,1,1023,7.508e-05,8.625e-05,8.544e-05
500,128,0.0,0.001,1,1185,1.374e-05,2.359e-05,2.271e-05
500,128,0.0,0.001,1,1373,9.91e-06,1.832e-05,1.759e-05
500,128,0.0,0.001,1,1592,7.71e-06,1.491e-05,1.433e-05
500,128,0.0,0.001,1,1844,7.432e-05,8.004e-05,8.076e-05
500,128,0.0,0.001,1,2137,1.606e-05,2.129e-05,2.103e-05
500,128,0.0,0.001,1,2477,3.588e-05,4.191e-05,4.145e-05
500,128,0.0,0.001,1,2871,3.64e-06,7.84e-06,7.49e-06
