n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,128,0.1,0.001,2,166913,8.3456,6000,256,54,0,0.02009169,0.0040977,0.02008453,0.00395575,0.02035938,0.0042458,-0.00014195,1.00458432,0.02,0.06171653,0.45,0.75195,1,11.53
500,128,0.1,0.003,2,166913,8.3456,6000,256,46,0,0.02023313,0.0033895,0.02027239,0.00330198,0.02043586,0.00352383,-8.752e-05,1.0116565,0.02,0.05091099,0.45,0.75195,1,8.44
1000,128,0.1,0.001,2,166913,4.1728,6000,256,54,0,0.02051734,0.00420589,0.02051611,0.00405584,0.02080563,0.004353,-0.00015005,1.02586709,0.02,0.03074618,0.4,0.6684,1,9.11
1000,128,0.1,0.003,2,166913,4.1728,6000,256,46,0,0.02037219,0.00335358,0.02041741,0.00326172,0.02062994,0.00352286,-9.186e-05,1.01860957,0.02,0.05094346,0.45,0.75195,1,9.18
2000,128,0.1,0.001,2,166913,2.0864,6000,256,54,0,0.02014514,0.0039012,0.02017843,0.00377019,0.02044105,0.00404871,-0.00013101,1.00725703,0.02,0.01112359,0.45,0.75195,1,9.09
2000,128,0.1,0.003,2,166913,2.0864,6000,256,46,0,0.02076783,0.00338618,0.02084015,0.00327759,0.02104799,0.00353749,-0.00010858,1.03839142,0.02,0.03912508,0.45,0.75195,1,9.09
5000,128,0.1,0.001,2,166913,0.8346,6000,256,54,0,0.02104584,0.00393955,0.02095694,0.00375715,0.02123492,0.00404125,-0.0001824,1.05229216,0.02,0.0081397,0.4,0.6684,1,9.19
5000,128,0.1,0.003,2,166913,0.8346,6000,256,46,0,0.02075687,0.00329854,0.02072946,0.00315607,0.02090127,0.00338163,-0.00014247,1.03784334,0.02,0.01215637,0.45,0.75195,1,9.07
10000,128,0.1,0.001,2,166913,0.4173,6000,256,54,0,0.02039416,0.00392537,0.020204,0.00370543,0.02046939,0.00399256,-0.00021994,1.01970807,0.02,0.00790367,0.45,0.75195,1,8.35
10000,128,0.1,0.003,2,166913,0.4173,6000,256,46,0,0.02055372,0.00331193,0.020364,0.00308456,0.02055562,0.00332969,-0.00022737,1.02768624,0.02,0.00828269,0.45,0.75195,1,8.32
20000,128,0.1,0.001,2,166913,0.2086,6000,256,54,0,0.02046775,0.00405189,0.02031181,0.00382596,0.02056458,0.00408933,-0.00022594,1.02338772,0.02,0.00793843,0.4,0.6684,1,8.26
20000,128,0.1,0.003,2,166913,0.2086,6000,256,46,0,0.02037254,0.00348663,0.02027638,0.00330502,0.02041185,0.00350779,-0.00018161,1.01862699,0.02,0.00852372,0.45,0.75195,1,8.28
