arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2000,6000,6000,1536000,22.105,nan,0.00339523,0.00215651,0.00339523,0.00135199,174,174,0,1.00681114,0.99916321,1,1949d6a0f7dfd389,0.85,1.1,1.6,2.6,85.32458496,0.0,22.83043188,13.11530781,13.21727276,13.19572067,0.62767625,1.00460739,1.01160247,1.00967688,1.05957785
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,102,500004,1,4000,6000,12000,3072000,14.146,nan,0.00337828,0.00210711,0.00337828,0.0013291,150,150,0,0.97683173,0.99916321,1,0cf4751c3b3ca1e0,0.9,1.25,1.65,2.85,84.99408722,0.0,22.87524748,13.2042675,13.2148695,13.1882391,0.60153198,1.00422698,1.01120663,1.00941084,1.05400142
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,103,500005,2,6000,6000,18000,4608000,14.12,nan,0.0034239,0.00212553,0.0034239,0.0012177,150,150,0,0.97751588,0.99916321,1,95e271ebb909b569,0.85,1.1,1.6,2.7,84.38176727,0.0,22.77512685,13.0424614,13.21089745,13.17950249,0.61115199,1.00439138,1.01085437,1.00853919,1.04698288
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,104,500006,3,8000,6000,24000,6144000,14.107,nan,0.00330444,0.00199688,0.00330444,0.00121424,150,150,0,1.0119592,0.99916321,1,9ac25a5a27aa15e6,0.95,1.25,1.8,2.9,83.5990448,0.0,22.84474193,13.16717339,13.20994186,13.17702389,0.60930812,1.0041927,1.01093971,1.00877415,1.0497871
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,105,500007,4,10000,6000,30000,7680000,14.093,nan,0.0032929,0.00199541,0.0032929,0.00130768,150,150,0,1.00354564,0.99916321,1,bf14292649ebd118,0.95,1.25,1.8,3.0,86.87425995,0.0,22.80182212,13.09481525,13.2015543,13.18333626,0.60622972,1.00421648,1.01046198,1.00861697,1.04813821
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,106,500008,5,12000,6000,36000,9216000,14.088,nan,0.00328936,0.0019938,0.00328936,0.00129997,174,174,0,1.01179922,0.99916321,1,2cfe2780ba0dda8b,1.0,1.3,1.8,2.75,82.13527679,0.0,22.8079564,13.07761002,13.22470474,13.18799591,0.60244471,1.00479004,1.01227569,1.00974726,1.06822487
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,107,500009,6,14000,6000,42000,10752000,14.06,nan,0.00330904,0.00201182,0.00330904,0.00120618,174,174,0,0.98867947,0.99916321,1,c2c572b2e58ec64b,1.05,1.35,1.85,2.9,85.25589752,0.0,22.83646334,13.12398243,13.22720528,13.18791103,0.62063378,1.0046498,1.01218292,1.00975898,1.05653088
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,108,500010,7,16000,6000,48000,12288000,14.09,nan,0.00328818,0.00199007,0.00328818,0.00125615,174,174,0,0.99364436,0.99916321,1,2021572ab6638b9d,1.05,1.35,1.9,3.0,83.12890625,0.0,22.81294554,13.08132362,13.21989441,13.19702435,0.61838239,1.00471051,1.01218952,1.00994348,1.06298231
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,109,500011,8,18000,6000,54000,13824000,14.093,nan,0.00333089,0.00203626,0.00333089,0.00128072,174,174,0,0.9681111,0.99916321,1,489e23f51b008fc4,1.0,1.3,1.8,2.95,83.48714447,0.0,22.86824026,13.18126011,13.22231293,13.19112587,0.61272657,1.00461942,1.01224934,1.01010802,1.06462219
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,110,500012,9,20000,6000,60000,15360000,14.087,nan,0.00329425,0.00198781,0.00329425,0.00130908,150,150,0,0.99521381,0.99916321,1,040bcd59dd6721e7,1.05,1.4,1.8,2.95,86.06956482,0.0,22.81335028,13.12448978,13.20102024,13.17362022,0.62089753,1.00401701,1.01024604,1.00855666,1.04735004
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2000,6000,6000,1536000,22.017,nan,0.00341801,0.00218317,0.00341801,0.00131992,150,150,0,1.00238001,1.00046194,1,57e8b5dd5ea69964,0.85,1.15,1.6,2.6,89.82953644,0.0,22.83167595,13.13909817,13.20864964,13.18419456,0.59842658,1.00436077,1.01095643,1.00925532,1.053174
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1102,600007,1,4000,6000,12000,3072000,14.181,nan,0.00330663,0.00202033,0.00330663,0.00130914,174,174,0,0.99344337,1.00046194,1,c2107d5e0df6ce0e,1.0,1.25,1.8,2.85,86.23762512,0.0,22.81718272,13.09403706,13.21802044,13.19337749,0.62349558,1.00474716,1.01170644,1.00963161,1.06000388
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1103,600008,2,6000,6000,18000,4608000,14.13,nan,0.00336772,0.00206959,0.00336772,0.00140707,150,150,0,1.00539827,1.00046194,1,da55aa1331a98596,0.85,1.15,1.65,2.6,90.3807373,0.0,22.83415832,13.17284775,13.19417191,13.16796875,0.62713248,1.00404679,1.01024551,1.00831106,1.0475006
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1104,600009,3,8000,6000,24000,6144000,14.07,nan,0.00331395,0.00200722,0.00331395,0.0012805,150,150,0,1.0093416,1.00046194,1,e7178fe9d6f34125,1.05,1.3,1.85,2.8,84.32582092,0.0,22.78342752,13.05972195,13.21286106,13.17525864,0.60091156,1.00426335,1.01114813,1.00907714,1.05092474
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1105,600010,4,10000,6000,30000,7680000,14.042,nan,0.00331337,0.00202335,0.00331337,0.00136248,174,174,0,0.99008006,1.00046194,1,160dee86ea52110f,1.05,1.3,1.85,2.7,89.22364807,0.0,22.90524327,13.24799347,13.21820545,13.19260025,0.61252075,1.00448752,1.01179202,1.00941219,1.06240974
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1106,600011,5,12000,6000,36000,9216000,14.086,nan,0.00329243,0.00199824,0.00329243,0.00126785,150,150,0,1.0034889,1.00046194,1,1ce675273c34c478,1.05,1.3,1.85,2.75,90.44618225,0.0,22.83685559,13.14107513,13.2069788,13.19222069,0.61248833,1.00424439,1.01061352,1.00880199,1.04968915
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1107,600012,6,14000,6000,42000,10752000,14.085,nan,0.00330389,0.001994,0.00330389,0.00130349,150,150,0,0.99787331,1.00046194,1,62d1b856863e9622,1.05,1.25,1.8,2.7,89.68051147,0.0,22.79947132,13.10592842,13.19203377,13.17763519,0.60885823,1.00434345,1.0103544,1.00832912,1.04630886
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1108,600013,7,16000,6000,48000,12288000,14.115,nan,0.00329166,0.0019939,0.00329166,0.00128073,174,174,0,1.02289164,1.00046194,1,a2361a26c96092fc,1.05,1.3,1.8,2.8,87.8605957,0.0,22.87562581,13.1863327,13.22422886,13.19755077,0.5994252,1.00467771,1.01179256,1.0099394,1.06060351
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1109,600014,8,18000,6000,54000,13824000,14.119,nan,0.00332203,0.00204103,0.00332203,0.00135703,150,150,0,0.98528373,1.00046194,1,a58c8126dcba80c5,1.05,1.3,1.8,2.65,88.73013306,0.0,22.81900825,13.11930084,13.20565128,13.18391323,0.62152153,1.00404169,1.01049955,1.00852631,1.04664944
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1110,600015,9,20000,6000,60000,15360000,14.119,nan,0.00330837,0.00200451,0.00330837,0.00132342,174,174,0,0.98802447,1.00046194,1,c28b57b20510f910,1.0,1.25,1.85,2.75,86.68172455,0.0,22.84032628,13.11952591,13.2195549,13.207407,0.6052379,1.00489716,1.0117219,1.01043208,1.06329124
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,2000,6000,6000,1536000,20.531,nan,0.00333115,0.00205827,0.00333115,0.00120218,150,150,0,0.99234456,0.99980885,1,26f522d43aa6a746,0.95,1.2,1.65,2.7,86.13282776,0.0,22.85429553,13.1931982,13.20247459,13.17510414,0.60798091,1.00418082,1.01059269,1.00853743,1.05024237
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2102,700010,1,4000,6000,12000,3072000,14.23,nan,0.0033306,0.00206129,0.0033306,0.00121591,174,174,0,1.00949693,0.99980885,1,b2fafafd1c662c64,1.0,1.25,1.75,2.75,87.00385284,0.0,22.91267506,13.26599884,13.21685982,13.18939495,0.59869069,1.00475072,1.01186001,1.00929038,1.06296541
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2103,700011,2,6000,6000,18000,4608000,14.156,nan,0.00330736,0.00204324,0.00330736,0.00117803,150,150,0,1.00318515,0.99980885,1,c9884d97e0c6b7f7,1.0,1.2,1.7,2.65,87.99836731,0.0,22.76224681,13.04265499,13.19837284,13.17031002,0.59575075,1.00411537,1.0102094,1.00846154,1.04440932
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2104,700012,3,8000,6000,24000,6144000,14.157,nan,0.00335618,0.00208422,0.00335618,0.00120318,150,150,0,0.98149842,0.99980885,1,1a5218bce0628d09,0.95,1.2,1.7,2.8,86.60632324,0.0,22.77622795,13.06302834,13.19341278,13.17807198,0.62139225,1.00406815,1.01023437,1.00812823,1.04408379
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2105,700013,4,10000,6000,30000,7680000,14.15,nan,0.00328658,0.0019814,0.00328658,0.00124328,150,150,0,0.98665649,0.99980885,1,9baed7d09f367bfb,1.0,1.25,1.75,2.8,87.67247772,0.0,22.830312,13.14291573,13.19914436,13.18717289,0.60660666,1.00403805,1.01055444,1.00882497,1.05161442
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2106,700014,5,12000,6000,36000,9216000,14.084,nan,0.00331082,0.0020254,0.00331082,0.00113241,150,150,0,0.96593541,0.99980885,1,64dc93271597c24b,1.0,1.25,1.75,2.75,85.74227142,0.0,22.83309174,13.14933205,13.20560455,13.17927265,0.60326254,1.00419878,1.01082829,1.00884599,1.04581067
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2107,700015,6,14000,6000,42000,10752000,14.016,nan,0.003312,0.00201562,0.003312,0.00126402,150,150,0,0.98873043,0.99980885,1,e1ed9f4f3adf0fc1,0.95,1.15,1.65,2.65,85.75040436,0.0,22.8050165,13.10318851,13.20482063,13.17746353,0.60199273,1.00422779,1.01080791,1.00875162,1.05212649
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2108,700016,7,16000,6000,48000,12288000,14.008,nan,0.00329474,0.00200392,0.00329474,0.00125815,150,150,0,1.00149989,0.99980885,1,9d9558d80bdff8b8,1.0,1.25,1.75,2.8,83.77970123,0.0,22.78624318,13.06823063,13.2018137,13.18261433,0.60416961,1.00430281,1.01080619,1.00894071,1.05775023
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2109,700017,8,18000,6000,54000,13824000,14.065,nan,0.00329024,0.00197715,0.00329024,0.00125244,174,174,0,0.99105406,0.99980885,1,49636b64e3f0ad84,1.0,1.3,1.75,2.75,84.20937347,0.0,22.8612216,13.16237926,13.21908855,13.20061016,0.62194401,1.00462008,1.01214592,1.00987311,1.06645533
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2110,700018,9,20000,6000,60000,15360000,14.033,nan,0.00329023,0.0019954,0.00329023,0.00128451,150,150,0,1.01080155,0.99980885,1,27201173ab27edd2,1.0,1.25,1.75,2.75,85.12789154,0.0,22.79632565,13.07656288,13.20773506,13.18613815,0.59788102,1.00468536,1.0111057,1.00918477,1.05692918
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3101,800012,0,2000,6000,6000,1536000,19.867,nan,0.00339542,0.00214711,0.00339542,0.00126615,150,150,0,1.02375948,1.01358283,1,b73efb07dfb4c772,0.95,1.25,1.7,2.45,89.30971527,0.0,22.87023245,13.20681763,13.21058559,13.18224144,0.58003408,1.00404617,1.01122499,1.00919599,1.0494335
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3102,800013,1,4000,6000,12000,3072000,14.183,nan,0.0034015,0.00210134,0.0034015,0.00132935,150,150,0,1.00253332,1.01358283,1,b181056edf43f5cd,1.0,1.25,1.8,2.75,86.91150665,0.0,22.77591634,13.05248165,13.20699406,13.17520809,0.60356253,1.00440134,1.01115196,1.00837725,1.04744867
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3103,800014,2,6000,6000,18000,4608000,14.119,nan,0.00338135,0.0021073,0.00338135,0.00133245,150,150,0,0.98892182,1.01358283,1,4b6462369cf56370,0.9,1.2,1.7,2.6,88.45786285,0.0,22.79387364,13.09152603,13.19890976,13.17473507,0.62270272,1.00419969,1.01083192,1.00877496,1.05238071
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3104,800015,3,8000,6000,24000,6144000,14.154,nan,0.00333469,0.00202683,0.00333469,0.00132583,174,174,0,0.98557085,1.01358283,1,b0d203e5504facc9,1.1,1.35,1.85,2.95,86.70847321,0.0,22.77859071,13.0253582,13.22284222,13.19072342,0.60456419,1.00472552,1.01222896,1.01041936,1.06474561
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3105,800016,4,10000,6000,30000,7680000,14.149,nan,0.00336814,0.00207638,0.00336814,0.00128067,174,174,0,0.97981465,1.01358283,1,2f68421342c3f500,1.05,1.3,1.8,2.7,86.93036652,0.0,22.85147669,13.14229774,13.22106457,13.20266628,0.60253769,1.0047328,1.01232435,1.01050173,1.06747004
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3106,800017,5,12000,6000,36000,9216000,14.146,nan,0.00337898,0.00209464,0.00337898,0.00128101,150,150,0,0.97985858,1.01358283,1,cb245a7b12bbc21e,1.0,1.3,1.8,2.65,85.96780396,0.0,22.85814106,13.17386723,13.21605396,13.18816757,0.59328645,1.00424882,1.01111339,1.00935711,1.05823568
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3107,800018,6,14000,6000,42000,10752000,14.085,nan,0.00329107,0.00198381,0.00329107,0.00125018,150,150,0,1.00821733,1.01358283,1,eb45d9569c5f4894,1.05,1.3,1.85,2.85,87.54969788,0.0,22.79074888,13.08261108,13.19171238,13.18605328,0.60847777,1.00418397,1.01062468,1.00894196,1.04796237
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3108,800019,7,16000,6000,48000,12288000,14.094,nan,0.0033243,0.00201317,0.0033243,0.00122311,174,174,0,1.00339293,1.01358283,1,ac0eac341daf9acc,1.05,1.3,1.8,2.85,87.8114624,0.0,22.8426116,13.13611984,13.2223196,13.19153214,0.61725551,1.00459155,1.01172658,1.00971168,1.05803915
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3109,800020,8,18000,6000,54000,13824000,14.104,nan,0.00330752,0.00199459,0.00330752,0.00125562,150,150,0,1.00247622,1.01358283,1,cdba8a3a6763a5b9,1.0,1.25,1.75,2.7,86.46907806,0.0,22.76035865,13.01692581,13.20862293,13.18078995,0.62659776,1.00415944,1.01107756,1.00860842,1.04827645
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3110,800021,9,20000,6000,60000,15360000,14.116,nan,0.00331333,0.00199793,0.00331333,0.00122026,150,150,0,0.98115247,1.01358283,1,4deeab067610d38b,1.05,1.3,1.85,2.8,90.36854553,0.0,22.77151353,13.04607105,13.20404911,13.17698479,0.60167909,1.00425818,1.0107093,1.00875047,1.05248989
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,4,4,9977,4101,900015,0,2000,6000,6000,1536000,20.812,nan,0.00338814,0.00215188,0.00338814,0.00139422,150,150,0,1.00719476,1.00387371,1,62383f402015b563,0.9,1.15,1.6,2.6,89.66054535,0.0,22.78562544,13.06197357,13.21605396,13.17322159,0.60969138,1.0045347,1.01148601,1.0090389,1.05553808
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,4,4,9977,4102,900016,1,4000,6000,12000,3072000,14.577,nan,0.0033188,0.00206035,0.0033188,0.00137305,150,150,0,0.99087954,1.00387371,1,ece4628248a25490,1.0,1.25,1.75,2.9,94.12465668,0.0,22.78801234,13.08782196,13.19517231,13.17185593,0.62614852,1.00400884,1.0104395,1.00813379,1.04676866
cold,0,1,0,0.0001,0.05,512,3,5,4,256,6000,8.0,2633729,4,4,9977,4103,900017,2,6000,6000,18000,4608000,14.828,nan,0.00328545,0.00202097,0.00328545,0.0013509,150,150,0,0.98637468,1.00387371,1,c5c9e226e20424a1,1.05,1.4,1.85,3.05,89.22135162,0.0,22.78168441,13.04819202,13.21619415,13.18011856,0.60540599,1.0041481,1.0110772,1.00951078,1.05281779
