arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,1,1,256,6.165,2000,0.07035519,0.05204896,0.04708675,-0.01830623,0.1,0.1671,22.63898927
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2,2,512,7.045,2000,0.05076405,0.03767603,0.03263076,-0.01308803,0.1,0.1671,22.63870715
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,3,3,768,7.097,2000,0.03833088,0.03325308,0.02807474,-0.0050778,0.1,0.1671,22.63964433
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,4,4,1024,7.148,2000,0.03321677,0.03312491,0.02779244,-9.187e-05,0.1,0.1671,22.64273864
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,5,5,1280,7.199,2000,0.033065,0.02465427,0.01918658,-0.00841073,0.15,0.25065,22.64687314
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,6,6,1536,7.251,2000,0.02371736,0.0234089,0.01781685,-0.00030846,0.15,0.25065,22.65246409
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,7,7,1792,7.301,2000,0.0231198,0.02686533,0.02117013,0.00374553,0.1,0.1671,22.65751694
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,8,8,2048,7.352,2000,0.02690431,0.02329536,0.0175243,-0.00360895,0.1,0.1671,22.66034638
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,9,9,2304,7.406,2000,0.02267689,0.02202217,0.01620829,-0.00065472,0.15,0.25065,22.66221098
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,11,11,2816,7.46,2000,0.02133627,0.01955405,0.01373923,-0.00178222,0.15,0.25065,22.66547915
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,12,12,3072,7.511,2000,0.01904214,0.01868937,0.01290442,-0.00035276,0.15,0.25065,22.66714777
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,14,14,3584,7.6,2000,0.01867813,0.01743907,0.0116956,-0.00123906,0.15,0.25065,22.66875021
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,16,16,4096,7.655,2000,0.01662207,0.01718307,0.01142637,0.000561,0.15,0.25065,22.67044169
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,19,19,4864,7.712,2000,0.01603995,0.0149698,0.00918022,-0.00107015,0.2,0.3342,22.67847808
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,22,22,5632,7.77,2000,0.01451348,0.01419021,0.00829434,-0.00032327,0.2,0.3342,22.68841159
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,26,26,6656,7.83,2000,0.01328331,0.01282474,0.00684779,-0.00045857,0.2,0.3342,22.69899176
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,30,30,7680,7.89,2000,0.01199715,0.01161691,0.00564493,-0.00038024,0.25,0.41775,22.70886499
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,34,34,8704,7.951,2000,0.01079092,0.01049122,0.00446867,-0.0002997,0.25,0.41775,22.72033213
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,40,40,10240,8.017,2000,0.00989148,0.00948287,0.00346184,-0.00040861,0.3,0.5013,22.73976745
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,46,46,11776,8.084,2000,0.00894628,0.00869039,0.00276409,-0.00025589,0.4,0.6684,22.75612264
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,54,54,13824,8.156,2000,0.00832394,0.00805296,0.00233188,-0.00027098,0.4,0.6684,22.76935628
