arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,1,1,256,3.912,2000,0.0703552,0.06325774,0.05821659,-0.00709746,0.05,0.08355,22.63417629
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2,2,512,4.929,2000,0.06298947,0.05647887,0.05144535,-0.0065106,0.05,0.08355,22.63435554
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,3,3,768,4.972,2000,0.05709905,0.0510814,0.04605458,-0.00601766,0.1,0.1671,22.63469486
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,4,4,1024,5.011,2000,0.05145622,0.0469603,0.0419387,-0.00449592,0.1,0.1671,22.63516868
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,5,5,1280,5.049,2000,0.04707857,0.04398053,0.03896266,-0.00309804,0.1,0.1671,22.63575139
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,6,6,1536,5.088,2000,0.04295639,0.04196298,0.03694662,-0.00099341,0.1,0.1671,22.63640069
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,7,7,1792,5.126,2000,0.04205306,0.04065019,0.03563272,-0.00140286,0.1,0.1671,22.63707153
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,8,8,2048,5.167,2000,0.04139899,0.03974881,0.03472733,-0.00165018,0.1,0.1671,22.63772262
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,9,9,2304,5.208,2000,0.03935283,0.03901677,0.03398881,-0.00033605,0.1,0.1671,22.63833502
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,11,11,2816,5.248,2000,0.0379051,0.03732207,0.03227333,-0.00058303,0.1,0.1671,22.6393527
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,12,12,3072,5.287,2000,0.03738095,0.03624026,0.03117798,-0.00114069,0.1,0.1671,22.63977027
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,14,14,3584,5.361,2000,0.03562632,0.0337621,0.0286677,-0.00186422,0.1,0.1671,22.64046425
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,16,16,4096,5.402,2000,0.03266077,0.03139731,0.02626501,-0.00126346,0.1,0.1671,22.64110515
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,19,19,4864,5.444,2000,0.03010953,0.02874614,0.02354916,-0.00136339,0.1,0.1671,22.64225119
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,22,22,5632,5.487,2000,0.02818557,0.02681998,0.02155341,-0.00136559,0.1,0.1671,22.64386466
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,26,26,6656,5.531,2000,0.02517337,0.02427847,0.01891923,-0.0008949,0.15,0.25065,22.64681465
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,30,30,7680,5.575,2000,0.02309678,0.02225042,0.01680619,-0.00084636,0.15,0.25065,22.6504656
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,34,34,8704,5.62,2000,0.02127259,0.02121153,0.0156903,-6.106e-05,0.15,0.25065,22.65432154
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,40,40,10240,5.668,2000,0.02032979,0.01974384,0.01412617,-0.00058596,0.15,0.25065,22.65924351
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,46,46,11776,5.717,2000,0.01886507,0.01867854,0.01300004,-0.00018652,0.15,0.25065,22.66311318
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,54,54,13824,5.769,2000,0.01775944,0.01731664,0.01159065,-0.0004428,0.15,0.25065,22.66685486
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,62,62,15872,5.852,2000,0.01626751,0.01620805,0.01045211,-5.945e-05,0.2,0.3342,22.67010719
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,72,72,18432,5.908,2000,0.01532268,0.01504883,0.00926032,-0.00027385,0.2,0.3342,22.67538266
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,83,83,21248,5.967,2000,0.01419632,0.01395189,0.00810993,-0.00024444,0.2,0.3342,22.68221446
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,97,97,24832,6.031,2000,0.01308201,0.01267618,0.00677705,-0.00040583,0.2,0.3342,22.69159044
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,112,112,28672,6.098,2000,0.01182138,0.01147308,0.00553304,-0.0003483,0.25,0.41775,22.70234181
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,130,130,33280,6.17,2000,0.01064873,0.01027412,0.0043191,-0.00037462,0.3,0.5013,22.71662437
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,150,150,38400,6.246,2000,0.00957674,0.00928649,0.00336031,-0.00029025,0.35,0.58485,22.73207836
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,174,174,44544,6.331,2000,0.00871715,0.00850268,0.00270294,-0.00021447,0.4,0.6684,22.74729198
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,202,202,51712,6.423,2000,0.00797718,0.0077817,0.00222233,-0.00019548,0.45,0.75195,22.75992729
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,234,234,59904,6.524,2000,0.00729157,0.00705995,0.00182426,-0.00023162,0.55,0.91905,22.77261171
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,271,271,69376,6.664,2000,0.00657959,0.00634277,0.00154387,-0.00023682,0.65,1.08615,22.78773949
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,314,314,80384,6.786,2000,0.00586869,0.0056122,0.00135048,-0.00025649,0.7,1.1697,22.80630452
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,364,364,93184,6.923,2000,0.00516968,0.00491426,0.00128488,-0.00025542,0.8,1.3368,22.82835767
cold,0,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,422,422,108032,7.074,2000,0.00457436,0.00439846,0.0014481,-0.0001759,0.85,1.42035,22.85217174
