arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,1,1,256,0.908,2000,0.07035519,0.49940205,0.4946543,0.42904685,0.0,0.0,22.69080564
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2,2,512,1.799,2000,0.50065589,0.73080134,0.72550523,0.23014545,0.0,0.0,22.68862376
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,3,3,768,1.855,2000,0.72668147,0.1463677,0.14115556,-0.58031377,0.05,0.08355,22.66230721
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,4,4,1024,1.911,2000,0.14557755,0.04822744,0.04311834,-0.09735011,0.1,0.1671,22.65862373
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,5,5,1280,1.962,2000,0.04770551,0.12494291,0.11987058,0.07723741,0.05,0.08355,22.66876551
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,6,6,1536,2.013,2000,0.12451869,0.0577351,0.05259678,-0.06678358,0.05,0.08355,22.67773001
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,7,7,1792,2.063,2000,0.05772637,0.05412027,0.04887014,-0.0036061,0.05,0.08355,22.69187914
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,8,8,2048,2.114,2000,0.05353494,0.14396003,0.13862,0.09042509,0.05,0.08355,22.71011137
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,9,9,2304,2.165,2000,0.14601548,0.09628746,0.09093951,-0.04972802,0.05,0.08355,22.72535809
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,11,11,2816,2.219,2000,0.06044409,0.06763012,0.06234418,0.00718603,0.05,0.08355,22.76023665
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,12,12,3072,2.27,2000,0.06779856,0.08597352,0.08065533,0.01817496,0.05,0.08355,22.77592632
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,14,14,3584,2.359,2000,0.06065524,0.02567226,0.02018819,-0.03498298,0.1,0.1671,22.79725177
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,16,16,4096,2.413,2000,0.03973446,0.05755602,0.05198795,0.01782156,0.05,0.08355,22.82121739
