arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2000,6000,6000,1536000,16.228,nan,0.0033862,0.00220882,0.0033862,0.00124207,97,97,0,0.98877364,0.99916321,1,1949d6a0f7dfd389,0.9,1.25,1.75,2.8,87.36457825,0.0,22.82969832,13.07073593,13.27613354,13.18230247,0.56759804,1.00119327,1.01610746,1.00865018,0.95816006
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,102,500004,1,4000,6000,12000,3072000,14.164,nan,0.00332229,0.00206711,0.00332229,0.00093843,112,112,0,0.98630923,0.99916321,1,0cf4751c3b3ca1e0,1.0,1.35,1.75,2.8,91.06741333,0.0,22.87316751,13.05211926,13.35789204,13.19535542,0.52277231,0.99976726,1.02236496,1.00964894,0.88248992
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,103,500005,2,6000,6000,18000,4608000,14.093,nan,0.00329409,0.00202021,0.00329409,0.0008847,72,72,0,1.00354826,0.99916321,1,95e271ebb909b569,0.95,1.3,1.75,2.75,87.11747742,0.0,22.90487392,13.03687954,13.41626072,13.20763302,0.48517978,0.99859993,1.02683229,1.01058836,0.81903011
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,104,500006,3,8000,6000,24000,6144000,14.041,nan,0.00327136,0.00199582,0.00327136,0.00078049,40,40,0,0.99395388,0.99916321,1,9ac25a5a27aa15e6,1.1,1.35,1.9,2.95,85.36617279,0.0,22.93647151,13.02400494,13.46615124,13.22548962,0.45411023,0.99761376,1.03065073,1.01195467,0.76658173
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,105,500007,4,10000,6000,30000,7680000,14.027,nan,0.00327289,0.00202151,0.00327289,0.00078628,40,40,0,0.99298114,0.99916321,1,bf14292649ebd118,1.05,1.4,1.9,3.0,83.25779724,0.0,22.9493646,13.00072479,13.49485302,13.24247646,0.42455781,0.99583055,1.03284747,1.01325442,0.71669439
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,106,500008,5,12000,6000,36000,9216000,14.023,nan,0.00327255,0.00203571,0.00327255,0.00078258,54,54,0,1.0057162,0.99916321,1,2cfe2780ba0dda8b,0.95,1.3,1.8,2.85,86.25666809,0.0,22.99724617,12.98622131,13.55069542,13.28338337,0.40220314,0.99471961,1.03712144,1.01638444,0.67895757
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,107,500009,6,14000,6000,42000,10752000,14.056,nan,0.00326846,0.00202094,0.00326846,0.00080563,40,40,0,1.01964819,0.99916321,1,c2c572b2e58ec64b,1.05,1.3,1.8,2.85,83.08662415,0.0,23.04247076,12.97931004,13.60159206,13.31707668,0.38096148,0.99419022,1.04101689,1.0189625,0.6430996
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,108,500010,7,16000,6000,48000,12288000,14.032,nan,0.00325131,0.00193877,0.00325131,0.00076205,54,54,0,1.00433266,0.99916321,1,2021572ab6638b9d,1.0,1.4,1.9,3.05,82.57408142,0.0,23.08589968,12.96418953,13.656991,13.35105896,0.35266858,0.99303202,1.04525692,1.02156267,0.59533847
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,109,500011,8,18000,6000,54000,13824000,14.032,nan,0.00328423,0.001979,0.00328423,0.00077262,34,34,0,0.97937071,0.99916321,1,489e23f51b008fc4,1.0,1.3,1.8,2.95,82.08970642,0.0,23.12290302,12.95451641,13.69591427,13.38499355,0.33619699,0.99229107,1.04823597,1.02415919,0.56753284
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,110,500012,9,20000,6000,60000,15360000,14.029,nan,0.003289,0.00198716,0.003289,0.0008324,22,22,0,1.01455641,0.99916321,1,040bcd59dd6721e7,1.0,1.3,1.75,2.65,85.26435089,0.0,23.15480581,12.94559956,13.73514557,13.40883732,0.32456487,0.99160806,1.05123859,1.02598361,0.54789671
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2000,6000,6000,1536000,16.269,nan,0.0034247,0.00223734,0.0034247,0.00136836,83,83,0,0.99244374,1.00046194,1,57e8b5dd5ea69964,0.95,1.2,1.7,2.8,92.84845734,0.0,22.83499095,13.09546566,13.26957798,13.17459679,0.54211688,1.00102548,1.01561974,1.00852061,0.95407427
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1102,600007,1,4000,6000,12000,3072000,14.451,nan,0.00328259,0.00204777,0.00328259,0.00091911,112,112,0,0.98418331,1.00046194,1,c2107d5e0df6ce0e,0.95,1.25,1.8,2.8,87.64509583,0.0,22.88589917,13.08107281,13.3608551,13.1867075,0.49820828,0.99992528,1.02260585,1.00944769,0.87679931
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1103,600008,2,6000,6000,18000,4608000,14.444,nan,0.00327851,0.00201329,0.00327851,0.00085072,62,62,0,0.98561853,1.00046194,1,da55aa1331a98596,1.05,1.3,1.8,2.75,87.50666809,0.0,22.92654906,13.06482315,13.42803669,13.20661736,0.45840663,0.99868314,1.02774776,1.01097179,0.80675217
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1104,600009,3,8000,6000,24000,6144000,14.273,nan,0.00328802,0.00203881,0.00328802,0.0007429,72,72,0,1.02211249,1.00046194,1,e7178fe9d6f34125,1.0,1.25,1.75,2.7,88.81813812,0.0,22.96603233,13.0515461,13.48522854,13.23122311,0.42323995,0.99766824,1.03212508,1.01285537,0.74486215
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1105,600010,4,10000,6000,30000,7680000,14.413,nan,0.00329166,0.00204628,0.00329166,0.00081188,54,54,0,0.99920428,1.00046194,1,160dee86ea52110f,1.05,1.3,1.8,2.75,86.72923279,0.0,23.00444161,13.03619957,13.53428078,13.26388359,0.39302731,0.99649514,1.03587941,1.01535555,0.69169077
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1106,600011,5,12000,6000,36000,9216000,14.422,nan,0.00326518,0.00201387,0.00326518,0.00076493,46,46,0,1.00755858,1.00046194,1,1ce675273c34c478,1.0,1.3,1.8,2.75,86.75511932,0.0,23.04300777,13.02782345,13.57590771,13.29697514,0.3757734,0.99585486,1.03906543,1.01788872,0.66132553
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1107,600012,6,14000,6000,42000,10752000,14.413,nan,0.00326072,0.00198966,0.00326072,0.00079797,40,40,0,1.01339626,1.00046194,1,62d1b856863e9622,1.0,1.25,1.65,2.65,84.81764221,0.0,23.08334473,13.01786137,13.62387085,13.32829857,0.35027066,0.99509336,1.04273641,1.02028654,0.61644313
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1108,600013,7,16000,6000,48000,12288000,14.365,nan,0.00329675,0.00207427,0.00329675,0.00072482,40,40,0,1.02677035,1.00046194,1,a2361a26c96092fc,0.95,1.2,1.6,2.4,87.49398041,0.0,23.13155636,13.00607014,13.67910671,13.36731529,0.32857388,0.99419203,1.04696402,1.02327328,0.57825886
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1109,600014,8,18000,6000,54000,13824000,14.42,nan,0.00327557,0.00200542,0.00327557,0.00081341,30,30,0,0.98987073,1.00046194,1,a58c8126dcba80c5,1.05,1.3,1.8,2.8,89.14250946,0.0,23.18883126,13.00335503,13.73574352,13.4112072,0.32175237,0.99398448,1.05129886,1.02663323,0.56625364
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1110,600015,9,20000,6000,60000,15360000,14.333,nan,0.00323151,0.00196929,0.00323151,0.00077234,26,26,0,1.00728071,1.00046194,1,c28b57b20510f910,1.05,1.3,1.85,2.65,89.10799408,0.0,23.2184981,12.99759007,13.7669754,13.43623734,0.31499404,0.99354381,1.05368927,1.02854929,0.55435962
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,2000,6000,6000,1536000,23.405,nan,0.00341042,0.00220295,0.00341042,0.0012146,112,112,0,1.02959645,0.99980885,1,26f522d43aa6a746,0.95,1.25,1.7,2.55,87.29008484,0.0,22.90125143,13.16227531,13.30089188,13.19072056,0.55945688,1.00182717,1.01812611,1.00973285,0.96642069
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2102,700010,1,4000,6000,12000,3072000,21.915,nan,0.00332096,0.00208913,0.00332096,0.00088956,97,97,0,1.01028872,0.99980885,1,b2fafafd1c662c64,1.0,1.25,1.75,2.75,86.78015137,0.0,22.91714366,13.14271545,13.3566494,13.18349457,0.50979584,1.0003384,1.02239411,1.00917971,0.88063489
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2103,700011,2,6000,6000,18000,4608000,21.793,nan,0.00327597,0.0020814,0.00327597,0.0008144,62,62,0,1.00379121,0.99980885,1,c9884d97e0c6b7f7,1.0,1.25,1.75,2.65,83.53695679,0.0,22.94700378,13.13307762,13.40681362,13.19538403,0.47586083,0.99960483,1.02623396,1.01008983,0.82201465
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2104,700012,3,8000,6000,24000,6144000,21.959,nan,0.00332549,0.00208182,0.00332549,0.00076987,46,46,0,0.97526437,0.99980885,1,1a5218bce0628d09,0.95,1.2,1.75,2.85,83.99682617,0.0,22.97153218,13.11887836,13.44320583,13.21644306,0.43837309,0.99852408,1.02901963,1.01170187,0.75725732
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2105,700013,4,10000,6000,30000,7680000,21.95,nan,0.0032793,0.00204302,0.0032793,0.00073593,54,54,0,0.99521375,0.99980885,1,9baed7d09f367bfb,1.0,1.3,1.8,2.8,84.64581299,0.0,23.01420439,13.10242271,13.50281715,13.2470932,0.41057679,0.99727158,1.03358262,1.0140481,0.70924126
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2106,700014,5,12000,6000,36000,9216000,21.891,nan,0.00325951,0.00202801,0.00325951,0.00073728,46,46,0,0.9912774,0.99980885,1,64dc93271597c24b,1.0,1.25,1.7,2.7,84.91035461,0.0,23.06041726,13.09571838,13.55702972,13.27937412,0.38752043,0.99676129,1.03773236,1.01651916,0.66941309
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2107,700015,6,14000,6000,42000,10752000,21.808,nan,0.00329464,0.0020259,0.00329464,0.00068989,46,46,0,0.99778515,0.99980885,1,e1ed9f4f3adf0fc1,0.85,1.05,1.5,2.4,82.50465393,0.0,23.09363929,13.08412743,13.59947777,13.30593491,0.35789055,0.99587906,1.04098158,1.01855236,0.61822964
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2108,700016,7,16000,6000,48000,12288000,21.847,nan,0.00327262,0.00204231,0.00327262,0.00072517,34,34,0,1.01775503,0.99980885,1,9d9558d80bdff8b8,1.0,1.25,1.75,2.65,85.77592468,0.0,23.1444233,13.0811367,13.64957237,13.34625435,0.33891225,0.99565143,1.0448161,1.02163876,0.58544602
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2109,700017,8,18000,6000,54000,13824000,21.931,nan,0.00324643,0.00202118,0.00324643,0.00083551,30,30,0,1.00048602,0.99980885,1,49636b64e3f0ad84,1.05,1.3,1.85,2.8,83.85167694,0.0,23.1934943,13.07954979,13.70389175,13.3775177,0.33003947,0.99553064,1.04897402,1.02403193,0.57011895
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2110,700018,9,20000,6000,60000,15360000,21.862,nan,0.00329033,0.00200664,0.00329033,0.00072862,26,26,0,1.02028596,0.99980885,1,27201173ab27edd2,0.95,1.2,1.65,2.6,84.72940063,0.0,23.21693571,13.07128239,13.73374939,13.39599991,0.31463397,0.99490138,1.05125949,1.02544672,0.54350707
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3101,800012,0,2000,6000,6000,1536000,23.283,nan,0.00341206,0.00226364,0.00341206,0.00128516,97,97,0,0.99947125,1.01358283,1,b73efb07dfb4c772,0.95,1.2,1.7,2.6,90.16254425,0.0,22.89608381,13.16911888,13.2926054,13.18462944,0.52645034,1.00118013,1.01750333,1.0093788,0.95248649
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3102,800013,1,4000,6000,12000,3072000,21.748,nan,0.00336563,0.00208437,0.00336563,0.0009563,130,130,0,1.02233624,1.01358283,1,b181056edf43f5cd,1.0,1.2,1.7,2.7,93.77348328,0.0,22.93992071,13.1500845,13.37582779,13.19709778,0.48895922,0.99973304,1.02387372,1.01033335,0.88465525
warm_all,1,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3103,800014,2,6000,6000,18000,4608000,21.677,nan,0.00335804,0.00208294,0.00335804,0.0008621,72,72,0,1.00504708,1.01358283,1,4b6462369cf56370,1.0,1.25,1.75,2.6,92.64528656,0.0,22.97392337,13.13587856,13.4364872,13.21003628,0.45343441,0.99865304,1.02851699,1.01132388,0.82038156
