arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,1,1,256,0.916,2000,0.07035519,0.06325778,0.05821662,-0.00709742,0.05,0.08355,22.63417629
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2,2,512,1.797,2000,0.06298949,0.05647913,0.05144561,-0.00651036,0.05,0.08355,22.63435554
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,3,3,768,1.853,2000,0.05709909,0.0510816,0.04605478,-0.00601749,0.1,0.1671,22.63469486
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,4,4,1024,1.904,2000,0.0514563,0.04696026,0.04193866,-0.00449604,0.1,0.1671,22.63516813
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,5,5,1280,1.955,2000,0.04707865,0.04398058,0.03896272,-0.00309806,0.1,0.1671,22.63575194
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,6,6,1536,2.006,2000,0.04295643,0.04196316,0.0369468,-0.00099327,0.1,0.1671,22.6364007
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,7,7,1792,2.057,2000,0.04205308,0.04065006,0.03563259,-0.00140303,0.1,0.1671,22.63707153
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,8,8,2048,2.11,2000,0.04139903,0.03974866,0.03472718,-0.00165037,0.1,0.1671,22.63772207
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,9,9,2304,2.161,2000,0.03935287,0.03901679,0.03398884,-0.00033608,0.1,0.1671,22.63833447
warm_all,1,1,0,3e-05,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,11,11,2816,2.215,2000,0.03790515,0.03732229,0.03227357,-0.00058286,0.1,0.1671,22.6393527
