arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2000,6000,6000,1536000,23.316,nan,0.01319793,0.00847792,0.01319793,0.00451046,174,174,0,1.01601481,0.99916321,1,1949d6a0f7dfd389,0.7,0.9,1.35,2.25,95.49987793,0.0,22.78023688,13.11824799,13.16246033,13.160429,0.63522333,1.0048326,1.00740733,1.00697652,1.07231805
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,102,500004,1,4000,6000,12000,3072000,21.766,nan,0.01309703,0.00821368,0.01309703,0.00464484,19,19,0,0.96649992,0.99916321,1,0cf4751c3b3ca1e0,0.75,1.0,1.5,2.55,95.01952362,0.0,22.78941904,13.12101936,13.16871357,13.16711712,0.63912487,1.00504488,1.00788593,1.00748827,1.07890422
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,103,500005,2,6000,6000,18000,4608000,21.714,nan,0.01302202,0.00809487,0.01302202,0.00494067,2,2,0,0.97327298,0.99916321,1,95e271ebb909b569,0.7,0.95,1.5,2.6,94.99193573,0.0,22.7910404,13.12153244,13.16966343,13.16842842,0.63981813,1.00508418,1.00795862,1.0075886,1.08007451
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,104,500006,3,8000,6000,24000,6144000,21.818,nan,0.01300324,0.00801977,0.01300324,0.00490257,8,8,0,1.00097954,0.99916321,1,9ac25a5a27aa15e6,0.7,0.95,1.45,2.45,94.71183014,0.0,22.79428428,13.12246704,13.1718626,13.17084408,0.64121479,1.00515577,1.00812694,1.00777344,1.0824322
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,105,500007,4,10000,6000,30000,7680000,21.805,nan,0.01300395,0.00808445,0.01300395,0.00499754,12,12,0,0.98047668,0.99916321,1,bf14292649ebd118,0.75,1.0,1.55,2.6,94.51418304,0.0,22.79887243,13.12377548,13.17523098,13.17402172,0.64307183,1.00525599,1.00838475,1.00801658,1.08556707
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,106,500008,5,12000,6000,36000,9216000,21.793,nan,0.01299767,0.00806597,0.01299767,0.00524995,14,14,0,0.99299592,0.99916321,1,2cfe2780ba0dda8b,0.75,1.0,1.5,2.5,94.16268158,0.0,22.80430403,13.12525177,13.17901611,13.17803955,0.64564389,1.00536907,1.00867445,1.008324,1.08990895
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,107,500009,6,14000,6000,42000,10752000,21.652,nan,0.01302002,0.0080828,0.01302002,0.00540007,12,12,0,0.97944379,0.99916321,1,c2c572b2e58ec64b,0.7,0.95,1.5,2.5,93.73293304,0.0,22.80868141,13.12634182,13.18217754,13.18127537,0.64751279,1.00545257,1.00891641,1.00857159,1.09306384
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,108,500010,7,16000,6000,48000,12288000,21.672,nan,0.01301026,0.00804348,0.01301026,0.00552972,11,11,0,0.99839067,0.99916321,1,2021572ab6638b9d,0.7,0.95,1.5,2.6,94.00350952,0.0,22.81181865,13.12707806,13.18456745,13.18351936,0.64876032,1.00550896,1.00909932,1.00874329,1.09516978
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,109,500011,8,18000,6000,54000,13824000,21.806,nan,0.01301721,0.00809625,0.01301721,0.00568468,7,7,0,0.98087364,0.99916321,1,489e23f51b008fc4,0.75,1.0,1.5,2.6,93.62188721,0.0,22.81466345,13.12783432,13.18644905,13.18575191,0.64987874,1.00556689,1.00924334,1.00891412,1.09705779
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,110,500012,9,20000,6000,60000,15360000,21.742,nan,0.01301837,0.00803505,0.01301837,0.00588675,12,12,0,1.01083004,0.99916321,1,040bcd59dd6721e7,0.7,0.95,1.5,2.5,93.41377258,0.0,22.81829366,13.12872791,13.18902016,13.18849754,0.65138978,1.00563534,1.00944012,1.0091242,1.09960856
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2000,6000,6000,1536000,23.401,nan,0.01312074,0.00834827,0.01312074,0.00458703,174,174,0,1.014925,1.00046194,1,57e8b5dd5ea69964,0.7,0.95,1.4,2.3,97.63829041,0.0,22.80192679,13.14779377,13.1680584,13.16394424,0.61334682,1.00502547,1.00784968,1.00770515,1.0794322
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1102,600007,1,4000,6000,12000,3072000,21.868,nan,0.0130458,0.00819724,0.0130458,0.00482056,11,11,0,0.98444879,1.00046194,1,c2107d5e0df6ce0e,0.7,0.95,1.4,2.45,97.30105591,0.0,22.80907023,13.14982033,13.17261028,13.1695919,0.61652035,1.00518038,1.00819807,1.00813748,1.08501731
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1103,600008,2,6000,6000,18000,4608000,21.768,nan,0.01299379,0.00811968,0.01299379,0.00501011,14,14,0,1.01166964,1.00046194,1,da55aa1331a98596,0.7,0.95,1.4,2.3,96.75201416,0.0,22.81658925,13.1520834,13.17755795,13.17525291,0.61977798,1.00535337,1.00857676,1.00857083,1.09075044
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1104,600009,3,8000,6000,24000,6144000,21.983,nan,0.0130033,0.00807962,0.0130033,0.00512774,11,11,0,1.00915217,1.00046194,1,e7178fe9d6f34125,0.7,0.95,1.4,2.45,96.90692139,0.0,22.82045856,13.1530571,13.18019009,13.17827702,0.62130654,1.0054278,1.00877821,1.00880233,1.09344056
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1105,600010,4,10000,6000,30000,7680000,21.941,nan,0.01307161,0.00816457,0.01307161,0.00536103,7,7,0,0.986332,1.00046194,1,160dee86ea52110f,0.65,0.9,1.35,2.35,96.48825836,0.0,22.82526037,13.15430737,13.18307304,13.18236446,0.62334645,1.00552337,1.00899887,1.00911522,1.09703061
