arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,1,1,256,0.883,2000,0.08793234,0.07739309,0.05750629,-0.01053925,0.05,0.08355,22.64554523
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2,2,512,1.751,2000,0.07717099,0.07118741,0.05132344,-0.00598358,0.05,0.08355,22.64573229
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,3,3,768,1.806,2000,0.07134183,0.06629676,0.04645469,-0.00504506,0.05,0.08355,22.6460726
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,4,4,1024,1.857,2000,0.06856684,0.06259791,0.04277353,-0.00596893,0.05,0.08355,22.64654117
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,5,5,1280,1.908,2000,0.06307396,0.05993823,0.04012655,-0.00313573,0.1,0.1671,22.64712361
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,6,6,1536,1.96,2000,0.06055334,0.05815292,0.03834729,-0.00240042,0.1,0.1671,22.64775822
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,7,7,1792,2.011,2000,0.05981698,0.05697893,0.03717183,-0.00283805,0.1,0.1671,22.64840708
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,8,8,2048,2.062,2000,0.05906668,0.05614095,0.03632473,-0.00292573,0.1,0.1671,22.64903173
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,9,9,2304,2.113,2000,0.05631381,0.05540428,0.03557121,-0.00090953,0.1,0.1671,22.64960539
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,11,11,2816,2.167,2000,0.05494752,0.05374127,0.03385058,-0.00120625,0.1,0.1671,22.65058251
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,12,12,3072,2.219,2000,0.05248986,0.05274777,0.03281852,0.00025791,0.1,0.1671,22.65099435
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,14,14,3584,2.308,2000,0.05150783,0.05052043,0.03049693,-0.0009874,0.1,0.1671,22.65167197
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,16,16,4096,2.362,2000,0.0503969,0.04839506,0.02825711,-0.00200185,0.1,0.1671,22.65228322
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,19,19,4864,2.419,2000,0.04767243,0.04596835,0.02562434,-0.00170408,0.1,0.1671,22.6533511
warm_all,1,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,22,22,5632,2.477,2000,0.04587012,0.04407436,0.02349529,-0.00179575,0.1,0.1671,22.65487869
